Date (LT),Hour,NowCast Conc.,Raw Conc.,Conc. Unit,AQI,AQI Category,QC Name
09/01/2022 16:00,16,109.9,113,ug/m3,179,Unhealthy,Valid
09/01/2022 17:00,17,120.4,131,ug/m3,185,Unhealthy,Valid
09/01/2022 18:00,18,115.7,111,ug/m3,182,Unhealthy,Valid
09/01/2022 19:00,19,127.8,140,ug/m3,188,Unhealthy,Valid
09/01/2022 20:00,20,137.4,147,ug/m3,193,Unhealthy,Valid
09/01/2022 21:00,21,147.6,159,ug/m3,199,Unhealthy,Valid
09/01/2022 22:00,22,144.7,143,ug/m3,197,Unhealthy,Valid
09/01/2022 23:00,23,146.6,149,ug/m3,198,Unhealthy,Valid
10/01/2022 00:00,0,149.4,153,ug/m3,199,Unhealthy,Valid
10/01/2022 01:00,1,150.5,155,ug/m3,201,Very Unhealthy,Valid
10/01/2022 02:00,2,155,163,ug/m3,205,Very Unhealthy,Valid
10/01/2022 03:00,3,157.5,164,ug/m3,208,Very Unhealthy,Valid
10/01/2022 04:00,4,164.1,174,ug/m3,214,Very Unhealthy,Valid
10/01/2022 05:00,5,167.8,174,ug/m3,218,Very Unhealthy,Valid
10/01/2022 06:00,6,164.2,169,ug/m3,215,Very Unhealthy,Valid
10/01/2022 07:00,7,160.8,147,ug/m3,211,Very Unhealthy,Valid
10/01/2022 08:00,8,161.1,161,ug/m3,212,Very Unhealthy,Valid
10/01/2022 09:00,9,158,145,ug/m3,208,Very Unhealthy,Valid
10/01/2022 10:00,10,155,142,ug/m3,205,Very Unhealthy,Valid
10/01/2022 11:00,11,152.8,144,ug/m3,203,Very Unhealthy,Valid
10/01/2022 12:00,12,150.6,142,ug/m3,201,Very Unhealthy,Valid
10/01/2022 13:00,13,133.7,112,ug/m3,191,Unhealthy,Valid
10/01/2022 14:00,14,122.6,107,ug/m3,186,Unhealthy,Valid
10/01/2022 15:00,15,110.4,98,ug/m3,179,Unhealthy,Valid
10/01/2022 16:00,16,85.8,64,ug/m3,167,Unhealthy,Valid
10/01/2022 17:00,17,93.9,102,ug/m3,171,Unhealthy,Valid
10/01/2022 18:00,18,106.9,120,ug/m3,178,Unhealthy,Valid
10/01/2022 19:00,19,115.4,124,ug/m3,182,Unhealthy,Valid
10/01/2022 20:00,20,118.2,121,ug/m3,183,Unhealthy,Valid
10/01/2022 21:00,21,121.1,124,ug/m3,185,Unhealthy,Valid
10/01/2022 22:00,22,129,137,ug/m3,189,Unhealthy,Valid
10/01/2022 23:00,23,134,139,ug/m3,192,Unhealthy,Valid
11/01/2022 00:00,0,145,156,ug/m3,197,Unhealthy,Valid
11/01/2022 01:00,1,149,153,ug/m3,199,Unhealthy,Valid
11/01/2022 02:00,2,145.5,142,ug/m3,197,Unhealthy,Valid
11/01/2022 03:00,3,147.2,149,ug/m3,198,Unhealthy,Valid
11/01/2022 04:00,4,145.3,145,ug/m3,197,Unhealthy,Valid
11/01/2022 05:00,5,145.6,151,ug/m3,198,Unhealthy,Valid
11/01/2022 06:00,6,145.1,143,ug/m3,197,Unhealthy,Valid
11/01/2022 07:00,7,151,165,ug/m3,201,Very Unhealthy,Valid
11/01/2022 08:00,8,153.5,161,ug/m3,204,Very Unhealthy,Valid
11/01/2022 09:00,9,155.3,167,ug/m3,206,Very Unhealthy,Valid
11/01/2022 10:00,10,156.7,162,ug/m3,207,Very Unhealthy,Valid
11/01/2022 11:00,11,154.9,146,ug/m3,205,Very Unhealthy,Valid
11/01/2022 12:00,12,148,126,ug/m3,199,Unhealthy,Valid
11/01/2022 13:00,13,133.2,110,ug/m3,191,Unhealthy,Valid
11/01/2022 14:00,14,127.6,117,ug/m3,188,Unhealthy,Valid
11/01/2022 15:00,15,123.2,115,ug/m3,186,Unhealthy,Valid
11/01/2022 16:00,16,107,92,ug/m3,178,Unhealthy,Valid
11/01/2022 17:00,17,83.4,62,ug/m3,165,Unhealthy,Valid
11/01/2022 18:00,18,79.2,75,ug/m3,163,Unhealthy,Valid
11/01/2022 19:00,19,101.6,124,ug/m3,175,Unhealthy,Valid
11/01/2022 20:00,20,128.3,155,ug/m3,189,Unhealthy,Valid
11/01/2022 21:00,21,159.6,191,ug/m3,210,Very Unhealthy,Valid
11/01/2022 22:00,22,166.8,174,ug/m3,217,Very Unhealthy,Valid
11/01/2022 23:00,23,149.9,133,ug/m3,200,Unhealthy,Valid
12/01/2022 00:00,0,131.4,113,ug/m3,190,Unhealthy,Valid
12/01/2022 01:00,1,134.7,138,ug/m3,192,Unhealthy,Valid
12/01/2022 02:00,2,118.8,103,ug/m3,184,Unhealthy,Valid
12/01/2022 03:00,3,106.9,95,ug/m3,178,Unhealthy,Valid
12/01/2022 04:00,4,102.9,99,ug/m3,175,Unhealthy,Valid
12/01/2022 05:00,5,92.4,82,ug/m3,170,Unhealthy,Valid
12/01/2022 06:00,6,89.2,86,ug/m3,168,Unhealthy,Valid
12/01/2022 07:00,7,84.1,79,ug/m3,166,Unhealthy,Valid
12/01/2022 08:00,8,87.5,91,ug/m3,168,Unhealthy,Valid
12/01/2022 09:00,9,86.7,86,ug/m3,167,Unhealthy,Valid
12/01/2022 10:00,10,84.4,81,ug/m3,166,Unhealthy,Valid
12/01/2022 11:00,11,81.5,78,ug/m3,164,Unhealthy,Valid
12/01/2022 12:00,12,77.8,74,ug/m3,163,Unhealthy,Valid
12/01/2022 13:00,13,76.7,70,ug/m3,162,Unhealthy,Valid
12/01/2022 14:00,14,77.3,78,ug/m3,162,Unhealthy,Valid
12/01/2022 15:00,15,82.8,96,ug/m3,165,Unhealthy,Valid
12/01/2022 16:00,16,116.9,148,ug/m3,183,Unhealthy,Valid
12/01/2022 17:00,17,133.4,150,ug/m3,191,Unhealthy,Valid
12/01/2022 18:00,18,150.7,168,ug/m3,201,Very Unhealthy,Valid
12/01/2022 19:00,19,163.8,177,ug/m3,214,Very Unhealthy,Valid
12/01/2022 20:00,20,165.9,168,ug/m3,216,Very Unhealthy,Valid
12/01/2022 21:00,21,179.4,193,ug/m3,230,Very Unhealthy,Valid
12/01/2022 22:00,22,184.7,190,ug/m3,235,Very Unhealthy,Valid
12/01/2022 23:00,23,196.8,209,ug/m3,247,Very Unhealthy,Valid
13/01/2022 00:00,0,206.4,216,ug/m3,256,Very Unhealthy,Valid
13/01/2022 01:00,1,210.7,215,ug/m3,261,Very Unhealthy,Valid
13/01/2022 02:00,2,201.8,193,ug/m3,252,Very Unhealthy,Valid
13/01/2022 03:00,3,197,190,ug/m3,247,Very Unhealthy,Valid
13/01/2022 04:00,4,182.1,149,ug/m3,232,Very Unhealthy,Valid
13/01/2022 05:00,5,163.9,137,ug/m3,214,Very Unhealthy,Valid
13/01/2022 06:00,6,151.1,133,ug/m3,202,Very Unhealthy,Valid
13/01/2022 07:00,7,146,138,ug/m3,198,Unhealthy,Valid
13/01/2022 08:00,8,143.7,140,ug/m3,197,Unhealthy,Valid
13/01/2022 09:00,9,137.3,129,ug/m3,193,Unhealthy,Valid
13/01/2022 10:00,10,119.3,104,ug/m3,184,Unhealthy,Valid
13/01/2022 11:00,11,117.1,115,ug/m3,183,Unhealthy,Valid
13/01/2022 12:00,12,110.5,104,ug/m3,179,Unhealthy,Valid
13/01/2022 13:00,13,99.2,88,ug/m3,174,Unhealthy,Valid
13/01/2022 14:00,14,82.1,65,ug/m3,165,Unhealthy,Valid
13/01/2022 15:00,15,75.5,69,ug/m3,161,Unhealthy,Valid
13/01/2022 16:00,16,71.2,67,ug/m3,159,Unhealthy,Valid
13/01/2022 17:00,17,72.6,74,ug/m3,160,Unhealthy,Valid
13/01/2022 18:00,18,74.8,77,ug/m3,161,Unhealthy,Valid
13/01/2022 19:00,19,90.8,107,ug/m3,169,Unhealthy,Valid
13/01/2022 20:00,20,106.2,122,ug/m3,177,Unhealthy,Valid
13/01/2022 21:00,21,121.7,137,ug/m3,185,Unhealthy,Valid
13/01/2022 22:00,22,127.8,134,ug/m3,188,Unhealthy,Valid
13/01/2022 23:00,23,134.9,142,ug/m3,192,Unhealthy,Valid
14/01/2022 00:00,0,117.9,101,ug/m3,183,Unhealthy,Valid
